date,net_contribution,dwt_contribution,berth_duration,moor_duration,moor_num,berth_num,DailyAverageTemperature,DailyAverageRelativeHumidity,DailyAverageWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall
2021/5/30,168733.19617931516,340234.1924138225,150.6563888888889,24,0.666666667,3.162836948777244,49,85,11.8,0.46,0,0
2021/5/31,154381.08753532753,325616.5235972741,124.3711111111111,39.98138888888889,1.333333333,2.903953799687848,49,90,7.7,0.89,0,0
2021/6/1,264967.82528507255,545338.5283971507,195.77055555555555,24,1.333333333,5.0066153020711095,60,71,3.7,0.02,0,0
2021/6/2,281741.45084770606,609282.3101809477,253.5638888888889,24,1,8.017516968950435,67,59,1.8,0,0,0
2021/6/3,189730.79825608528,415567.26700100495,214.52972222222223,15.547222222222222,1,5.774869020393905,69,60,2.5,0,0,0
2021/6/4,233872.94539682937,510323.5183402615,262.66583333333335,14.368055555555555,0.166666667,7.54484276378585,67,88,1.3,0.38,0,0
2021/6/5,201430.146350065,422226.7010100588,190.14638888888888,35.32361111111111,1.5,4.9028741747366835,71,87,3.3,0.39,0,0
2021/6/6,260996.02560779266,527829.0169261035,182.3525,22.035555555555554,0.666666667,5.261326620106149,78,60,5,0,0,0
2021/6/7,198775.88919011125,412434.02479025733,168.15305555555557,10.658888888888889,0.666666667,3.8625734712740676,84,51,2.8,0,0,0
2021/6/8,245262.6724841793,501275.38190140127,217.7763888888889,0,0,5.1815007093778584,84,66,2.8,0.07,0,0
2021/6/9,218560.88339252418,471482.0738498518,218.31527777777777,0,0,5.502261537991029,81,77,2.7,0.47,0,0
2021/6/10,319949.7167685066,690291.9751205296,258.84777777777776,17.31277777777778,0.333333333,7.772877581254773,81,69,3,0.01,0,0
2021/6/11,275203.98345735384,579183.1553775411,258.92555555555555,36.76027777777778,1.166666667,6.769584924011653,75,46,6.3,0,0,0
2021/6/12,238285.03110063222,503457.80362203624,226.775,66.19,2.5,6.45989930985785,66,67,5.2,0.005,0,0
2021/6/13,225833.11038984678,461705.21292998677,157.24,58.42861111111111,1.833333333,4.930322423136438,66,69,3.7,0,0,0
2021/6/14,287800.75048946956,588589.7049115013,249.8563888888889,45.79555555555555,1.833333333,6.876450816792127,69,68,2.3,0.01,0,0
2021/6/15,370229.7815163252,736343.3637180694,283.7422222222222,0,0.333333333,7.519421711653813,69,82,2.4,0.22,0,0
2021/6/16,267781.1455560654,523046.4298530831,221.96777777777777,0,0,5.992175323959737,73,64,4.6,0.005,0,0
2021/6/17,224295.6106465247,466603.8574096753,194.5886111111111,0,0,4.947233501915104,70,42,4.5,0,0,0
2021/6/18,280335.434081134,606788.7273167808,280.45222222222225,10.319722222222222,0,7.503946744222336,68,34,3.8,0,0,0
2021/6/19,247248.7799009064,522525.1931145104,210.37972222222223,24,1,4.896324455078541,74,41,4.7,0,0,0
2021/6/20,141356.70207635761,279720.19420610275,119.95694444444445,30.218055555555555,1,2.4083104141953036,77,68,4.3,0.14,0,0
2021/6/21,156598.38016607208,296340.4954307681,154.61916666666667,22.039444444444445,1.166666667,3.259495885897667,76,63,2.5,0,0,0
2021/6/22,317770.5778383045,628707.1706076679,283.3177777777778,16.500555555555554,0.166666667,7.454446056427505,81,72,3.7,0.005,0,0
2021/6/23,268890.63322822936,541945.9887181297,225.06166666666667,55.87361111111111,2,6.028505868705241,69,78,5,0.24,0,0
2021/6/24,312354.9607829002,670996.5565779031,262.68888888888887,71.84666666666666,2.166666667,6.1753782981367245,66,49,3.8,0,0,0
2021/6/25,239752.95163851115,528485.5171126507,254.59694444444443,78.03555555555556,3.666666667,6.471357701234984,69,55,3.7,0,0,0
2021/6/26,253841.7953502828,559085.2571436136,245.57305555555556,31.674722222222222,1.833333333,7.019840490147381,73,67,2.2,0,0,0
2021/6/27,186402.36169849272,406117.3368411692,159.47944444444445,27.94333333333333,0.5,4.229453100764043,76,78,3.1,0.04,0,0
2021/6/28,180515.1524710272,357725.3626381323,193.84027777777777,44.91166666666667,1.333333333,4.223963932651964,82,71,4.7,0,0,0
2021/6/29,302825.85796474846,606498.1982098385,292.4425,48,2,6.548371086209678,84,65,4.8,0,0,0
2021/6/30,351705.4270105602,723947.2241159932,300.6563888888889,63.60111111111111,2,8.07884308367049,87,59,4.5,0,0,0
2021/7/1,244059.4127357679,547579.0195838008,272.3675,36.38027777777778,1.833333333,7.070610738781394,86,84,5.1,0.65,0,0
2021/7/2,258156.8018266207,582287.1346473881,258.9611111111111,16.055555555555557,0.833333333,6.302027636100464,78,84,2,0.9,0,0
2021/7/3,307044.1180277991,646009.6985869345,267.0208333333333,11.075555555555555,0.333333333,6.567982803532157,71,86,3.5,0.67,0,0
2021/7/4,104933.70108628468,215836.1004416135,114.51972222222223,0.17194444444444446,0,2.3798686403396716,63,86,5.9,0.34,0,0
2021/7/5,170781.22384430925,358909.992963655,169.88305555555556,32.157222222222224,0.5,4.355722970645189,70,72,2.4,0,0,0
2021/7/6,251189.75505399617,532353.7535069645,218.49194444444444,68.16944444444445,1.833333333,6.475349912118679,75,71,3.8,0,0,0
2021/7/7,173789.99864363196,371852.8070444729,202.27444444444444,33.03611111111111,1.833333333,4.741011356938456,82,72,5.8,0.55,0,0
2021/7/8,238842.39524933617,503926.4223604313,241.74833333333333,18.022777777777776,0.833333333,5.765938512898658,81,68,2.5,0,0,0
